2018rank,City,State[c],2010Census,White,Non_Hispanic_White,African_American,Asian,Other
96,Fremont,California,214089,NA,NA,"6,743 – 3.1","107,679 – 50.3","1,064 – 0.5"
97,Boise,Idaho,205671,NA,NA,NA,NA,NA
98,Richmond,Virginia,204214,NA,NA,NA,NA,NA
99,Baton Rouge,Louisiana,229493,NA,NA,NA,NA,NA
100,Spokane,Washington,208916,NA,NA,NA,NA,NA
101,Des Moines,Iowa,203433,76.4,70.5,10.2,4.4,NA
102,Tacoma,Washington,198397,NA,NA,NA,NA,NA
103,San Bernardino,California,209924,45.6,19.0,15.0,4.0,NA
104,Modesto,California,201165,NA,NA,NA,NA,NA
105,Fontana,California,196069,NA,NA,NA,NA,NA
106,Santa Clarita,California,176320,NA,NA,NA,NA,NA
107,Birmingham,Alabama,212237,NA,NA,NA,NA,NA
108,Oxnard,California,197899,NA,NA,NA,NA,NA
109,Fayetteville,North Carolina,200564,NA,NA,NA,NA,NA
110,Moreno Valley,California,193365,NA,NA,NA,NA,NA
111,Rochester,New York,210565,43.7,37.6,41.7,3.1,NA
112,Glendale,California,191719,NA,NA,NA,NA,NA
113,Huntington Beach,California,189992,NA,NA,NA,NA,NA
114,Salt Lake City,Utah,186440,75.1,65.7,2.6,4.4,NA
115,Grand Rapids,Michigan,188040,NA,NA,NA,NA,NA
116,Amarillo,Texas,190695,NA,NA,NA,NA,NA
117,Yonkers,New York,195976,55.8,41.4,16.0,5.8,NA
118,Aurora,Illinois,197899,NA,NA,NA,NA,NA
119,Montgomery,Alabama,205764,NA,NA,NA,NA,NA
120,Akron,Ohio,199110,NA,NA,NA,NA,NA
121,Little Rock,Arkansas,193524,NA,NA,NA,NA,NA
122,Huntsville,Alabama,180105,NA,NA,NA,NA,NA
123,Augusta,Georgia,195844,NA,NA,NA,NA,NA
124,Port St. Lucie,Florida,164603,NA,NA,NA,NA,NA
125,Grand Prairie,Texas,175396,NA,NA,NA,NA,NA
126,Columbus,Georgia,189885,46.3,43.7,45.5,2.2,NA
127,Tallahassee,Florida,181376,NA,NA,NA,NA,NA
128,Overland Park,Kansas,173372,NA,NA,NA,NA,NA
129,Tempe,Arizona,161719,NA,NA,NA,NA,NA
130,McKinney,Texas,131117,NA,NA,NA,NA,NA
131,Mobile,Alabama,195111,45.0,43.9,50.6,1.8,NA
132,Cape Coral,Florida,154305,NA,NA,NA,NA,NA
133,Shreveport,Louisiana,199311,NA,NA,NA,NA,NA
134,Frisco,Texas,116989,NA,NA,NA,NA,NA
135,Knoxville,Tennessee,178874,NA,NA,NA,NA,NA
136,Worcester,Massachusetts,181045,NA,NA,NA,NA,NA
137,Brownsville,Texas,175023,NA,NA,NA,NA,NA
138,Vancouver,Washington,161791,NA,NA,NA,NA,NA
139,Fort Lauderdale,Florida,165521,NA,NA,NA,NA,NA
140,Sioux Falls,South Dakota,153888,NA,NA,NA,NA,NA
141,Ontario,California,163924,NA,NA,NA,NA,NA
142,Chattanooga,Tennessee,167674,NA,NA,NA,NA,NA
143,Providence,Rhode Island,178042,49.8,37.6,16.0,6.4,NA
144,Newport News,Virginia,180719,NA,NA,NA,NA,NA
145,Rancho Cucamonga,California,165269,NA,NA,NA,NA,NA
146,Santa Rosa,California,167815,NA,NA,NA,NA,NA
147,Oceanside,California,167086,NA,NA,NA,NA,NA
148,Salem,Oregon,154637,NA,NA,NA,NA,NA
149,Elk Grove,California,153015,NA,NA,NA,NA,NA
150,Garden Grove,California,170883,NA,NA,NA,NA,NA
151,Pembroke Pines,Florida,154019,NA,NA,NA,NA,NA
